QueryVars,ProjVars,JoinVars,LonelyNonResultVars,min_cardinality_of_var_in_TP,No.TPs,TP_sizes,QueryRuntime
"['j', 't', 'i', 'o', 'g', 'u', 'n', 'e', 'h', 'v', 'k', 'p', 'q', 'x', 'b', 'a', 'l', 's', 'd', 'y', 'w', 'r', 'f', 'c']","[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1]","[0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]","[24, 37, 54, 98, 18, 83, 38, 61, 91, 54, 34, 78, 56, 91, 86, 93, 42, 41, 36, 94, 92, 36, 94, 60]",5,"[35, 21, 12, 73, 56]",8.138647191883223
"['h', 'u']","[1, 1]","[0, 1]","[0, 1]","[98, 64]",5,"[4, 12, 51, 17, 35]",2.891667653042918
"['g', 'c', 'n', 'w', 'x', 'u', 'f', 'j', 'y', 'e', 'i', 's', 'd', 'p', 'v', 'r', 'k', 'o']","[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0]","[1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1]","[4, 12, 97, 52, 87, 10, 52, 19, 77, 77, 94, 49, 81, 99, 72, 97, 48, 83]",2,"[56, 51]",8.526578501102408
"['g', 'u', 'x', 'q', 'y', 'k', 'b', 'h', 'n', 's', 'p', 'm', 'l', 'e', 'o', 'f', 'v', 'r', 'a', 'c']","[1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0]","[1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1]","[98, 79, 96, 63, 78, 89, 55, 65, 15, 73, 47, 96, 12, 33, 10, 22, 76, 41, 3, 51]",10,"[65, 87, 55, 15, 8, 29, 96, 32, 58, 1]",1.931315775422835
"['c', 'p', 'o', 's', 'v']","[0, 0, 0, 1, 0]","[1, 1, 0, 1, 0]","[0, 1, 1, 1, 0]","[62, 90, 9, 98, 39]",6,"[64, 62, 91, 95, 82, 67]",5.40617090192118
"['j', 'b', 'n', 'v', 's', 'u', 'm', 'l', 'k', 'o', 'a', 'w']","[1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0]","[1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[28, 95, 45, 18, 43, 36, 43, 21, 80, 61, 34, 80]",7,"[55, 45, 67, 7, 88, 28, 21]",2.1948642436128107
"['w', 'y', 'f', 'k', 'v', 't', 'h', 'i', 'o', 'a', 'e', 'l', 'j', 'u', 'c', 'r', 'b']","[1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0]","[18, 33, 13, 6, 48, 37, 44, 40, 4, 79, 54, 73, 80, 91, 77, 96, 10]",6,"[6, 83, 7, 24, 6, 44]",5.542611577666254
"['b', 'p', 'i', 'd', 'o', 'j', 's', 'm', 'q']","[1, 1, 0, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 1, 1, 1, 0, 1, 1]","[0, 1, 0, 0, 0, 1, 1, 1, 1]","[76, 17, 61, 35, 34, 18, 9, 85, 58]",10,"[51, 24, 18, 5, 98, 27, 45, 14, 70, 74]",9.6900751336171
"['d', 'a', 'h', 'w', 'b', 'v', 'n', 'j', 'f', 's', 'i', 't', 'o']","[0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1]","[0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0]","[30, 20, 47, 7, 5, 61, 29, 22, 30, 93, 71, 84, 6]",6,"[63, 22, 80, 60, 35, 75]",2.162057845996181
"['d', 's', 'o', 'm', 'b', 'y', 'p', 'f', 'l', 'h', 'v', 'x']","[1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1]","[1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]","[1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1]","[2, 10, 52, 94, 58, 45, 43, 86, 18, 100, 88, 56]",8,"[93, 52, 94, 42, 16, 26, 62, 17]",2.106458549841307
"['u', 't', 'd']","[1, 0, 0]","[1, 0, 0]","[0, 0, 0]","[44, 56, 92]",7,"[48, 64, 29, 17, 97, 25, 65]",2.5001326044998797
"['n', 'u', 'b', 'r', 'x']","[0, 1, 1, 1, 1]","[0, 0, 0, 0, 1]","[1, 1, 0, 1, 0]","[96, 59, 44, 94, 47]",7,"[5, 84, 56, 65, 25, 28, 9]",0.6111144308851783
"['f', 'l', 'w', 'b', 'g', 'e', 'q', 'd', 'y', 's', 'j', 'u', 'x', 'o', 'n', 't', 'i', 'm']","[1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1]","[0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1]","[0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[96, 10, 93, 60, 76, 23, 55, 76, 12, 48, 16, 62, 38, 20, 18, 89, 90, 41]",9,"[9, 51, 99, 91, 99, 26, 40, 23, 32]",7.945771597942535
"['o', 'g', 'a', 'y', 'f', 'q', 'e', 'd', 'j', 'u', 'n', 'x']","[0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0]","[1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1]","[1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0]","[7, 2, 83, 60, 96, 91, 57, 95, 44, 34, 61, 93]",9,"[34, 2, 60, 23, 12, 65, 81, 61, 34]",4.419382647777056
"['f', 'w']","[1, 0]","[1, 1]","[0, 0]","[57, 91]",3,"[10, 27, 57]",9.321084095448253
"['t', 'f', 'y', 'l', 'r']","[0, 1, 1, 0, 1]","[0, 0, 1, 0, 1]","[0, 0, 1, 1, 0]","[93, 80, 26, 81, 54]",2,"[65, 89]",4.319041176886537
"['w', 'f', 't', 'o', 'j', 'e', 'd', 'l', 'y', 'k', 'v', 'a', 'm', 'n', 'i', 'b', 's', 'c', 'x', 'h', 'p', 'q']","[1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0]","[46, 68, 96, 37, 22, 55, 6, 77, 47, 99, 7, 98, 69, 56, 100, 13, 31, 20, 16, 59, 3, 90]",1,[63],2.0049964925516197
"['h', 'e', 'n', 'f', 'l', 'i', 's', 't', 'y']","[0, 0, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 1, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 1, 0]","[87, 12, 52, 14, 18, 66, 38, 94, 80]",4,"[11, 90, 63, 41]",2.196088720709374
"['i', 'f', 'o', 'b', 'm', 'g', 'a', 'r', 'p', 'd', 'q', 'k', 'l', 't', 'v', 'x', 'w', 'e', 'u', 'y', 'h', 'j', 's']","[0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0]","[1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1]","[86, 56, 71, 46, 28, 10, 37, 63, 30, 64, 72, 83, 46, 13, 20, 5, 18, 94, 67, 19, 39, 62, 27]",7,"[14, 83, 34, 87, 37, 29, 53]",7.552045636647459
"['m', 'u', 'g', 'x']","[0, 1, 0, 1]","[0, 1, 1, 1]","[1, 0, 1, 1]","[20, 43, 1, 19]",5,"[5, 87, 93, 28, 6]",3.0875788402419535
"['h', 'd', 'q', 'u', 'x', 't', 'l', 'k', 'g', 'v', 's']","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1]","[89, 47, 7, 18, 88, 32, 30, 27, 65, 3, 74]",2,"[93, 16]",6.046496753358329
"['c', 'p', 'o', 'h', 'x', 'k', 'b', 'l', 'e', 'y', 'j', 'w', 'm', 'v', 'u', 'q', 'r', 'f', 's']","[1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1]","[0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1]","[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[73, 28, 98, 9, 9, 61, 66, 72, 48, 66, 39, 31, 9, 66, 90, 85, 1, 65, 39]",10,"[80, 55, 86, 67, 8, 82, 77, 17, 57, 11]",1.0547559034494713
"['j', 'o', 'n', 't', 'u', 'i', 'm', 'b', 'h', 'e', 'd', 'x', 'f', 's', 'l', 'y', 'c', 'k']","[1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0]","[1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]","[4, 55, 20, 28, 41, 53, 74, 85, 65, 8, 66, 96, 71, 94, 48, 80, 21, 83]",9,"[8, 93, 37, 34, 28, 9, 55, 54, 89]",6.829026191627026
"['r', 'b', 'y', 'u', 's', 'p', 'k', 'f', 'l', 'j', 'g', 'm', 'q', 'd', 't', 'w']","[0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]","[95, 46, 25, 62, 60, 29, 27, 72, 87, 51, 25, 74, 87, 22, 73, 31]",3,"[94, 97, 65]",1.4968986647903977
"['b', 's', 'h', 'g', 'j', 'e', 'p', 'd']","[0, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 0, 1, 0, 0, 0]","[1, 0, 1, 0, 0, 1, 1, 0]","[32, 57, 51, 39, 20, 22, 85, 16]",6,"[29, 74, 69, 73, 35, 100]",0.6401007851894023
"['n', 'w', 'i', 'g', 'p', 'v', 't', 'c', 'o']","[0, 1, 1, 0, 0, 1, 0, 0, 1]","[1, 1, 0, 1, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0]","[38, 28, 46, 47, 58, 1, 22, 65, 57]",2,"[43, 58]",7.530553211452136
"['h', 'w', 'o', 'c', 'a', 'p', 'r', 'v', 'e', 'u', 'b', 'q', 'l', 'i', 'k', 'j', 'd', 'g', 's', 'n', 'x', 'f', 't', 'm', 'y']","[1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0]","[17, 37, 64, 97, 81, 6, 14, 100, 59, 55, 70, 22, 6, 35, 62, 17, 75, 85, 91, 91, 96, 28, 87, 67, 86]",1,[5],8.866569593203893
"['x', 'o', 'k']","[0, 1, 0]","[1, 0, 1]","[1, 1, 0]","[21, 21, 13]",10,"[65, 52, 44, 30, 31, 19, 2, 34, 30, 56]",4.362188019090845
"['q', 'h', 'm', 'y', 'o', 'g', 'i', 'e', 'r', 'f', 'v']","[1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]","[60, 92, 13, 60, 11, 85, 95, 62, 7, 84, 36]",5,"[71, 15, 26, 6, 37]",2.5407384841797125
"['u', 'o', 'd', 'p', 'b', 'i', 'y', 'g', 'a', 'm', 'q', 'n', 'k', 'j']","[0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1]","[0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1]","[75, 84, 25, 5, 55, 69, 36, 84, 64, 60, 34, 69, 79, 51]",10,"[33, 29, 55, 52, 90, 32, 77, 92, 57, 43]",1.8697806621427535
"['a', 'f', 'v']","[0, 0, 1]","[0, 1, 0]","[1, 1, 1]","[31, 71, 73]",4,"[37, 28, 47, 83]",3.2343113599147624
"['d', 'l', 'c', 'k', 'f', 'a', 'u', 'o', 's', 'v', 'p', 'q']","[1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]","[0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0]","[62, 29, 19, 72, 15, 65, 10, 1, 100, 9, 67, 72]",8,"[27, 98, 35, 28, 40, 17, 78, 60]",9.603846386234478
"['i', 'k', 't', 'm', 'h', 'a', 'g']","[0, 1, 0, 1, 0, 1, 0]","[0, 1, 1, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0]","[74, 60, 86, 63, 24, 86, 68]",5,"[71, 19, 66, 25, 11]",7.397531900677348
"['b', 'f', 'o', 'm']","[1, 0, 1, 0]","[1, 1, 0, 0]","[0, 0, 0, 0]","[10, 94, 73, 63]",3,"[96, 59, 56]",0.33194045745644407
"['h', 'a', 'e']","[0, 0, 0]","[1, 0, 1]","[1, 1, 1]","[60, 13, 89]",8,"[15, 50, 74, 23, 43, 18, 93, 25]",9.093560603717556
"['o', 't', 'b', 'd', 'y']","[1, 0, 0, 1, 1]","[1, 0, 1, 0, 0]","[1, 1, 1, 1, 0]","[65, 71, 71, 16, 33]",6,"[62, 19, 49, 54, 81, 94]",0.46348217586411555
"['e', 'l', 's', 'g', 'p', 'i', 'm', 'f', 'n', 'r', 'w', 'u', 't', 'a', 'x', 'd', 'y', 'v', 'b', 'h', 'o', 'c', 'k', 'q']","[0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1]","[46, 3, 3, 10, 85, 29, 64, 3, 12, 15, 15, 8, 87, 9, 60, 72, 9, 45, 80, 98, 91, 60, 32, 25]",8,"[63, 75, 15, 26, 9, 43, 40, 81]",5.199766524985711
"['d', 'r', 'q', 'l', 'y', 'e']","[1, 0, 0, 1, 0, 1]","[1, 0, 1, 1, 0, 0]","[0, 1, 1, 0, 1, 1]","[54, 27, 16, 37, 65, 59]",6,"[27, 66, 70, 33, 48, 74]",3.3249188443743143
"['g', 'c', 'l', 't', 'o', 'j', 'b', 'p', 'r', 's', 'm', 'a', 'y', 'q', 'w', 'h', 'k']","[1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]","[0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1]","[40, 18, 49, 94, 27, 58, 32, 33, 97, 48, 89, 32, 82, 69, 21, 57, 67]",7,"[2, 30, 77, 16, 46, 34, 80]",8.56310965720616
"['b', 'k', 'l', 'o', 'n', 'y', 'q', 'w', 'r', 'd', 'g', 't', 'j', 'f', 'x', 'i', 'a', 'm', 'u', 'p']","[0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1]","[1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]","[87, 94, 42, 26, 65, 9, 50, 29, 94, 50, 46, 73, 39, 17, 75, 33, 16, 28, 7, 60]",1,[34],8.147640612208335
"['n', 'h', 'j', 'd', 'u', 't', 'b', 'f', 'y', 'l', 'g', 'a', 'e', 'o', 'q', 'm', 'i', 'k', 'v', 'x']","[1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0]","[1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0]","[0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1]","[8, 94, 12, 57, 8, 99, 80, 3, 27, 19, 26, 41, 30, 33, 52, 37, 73, 60, 66, 84]",10,"[12, 20, 62, 2, 39, 53, 26, 64, 31, 90]",5.595511984618413
"['k', 'h', 'n', 'p', 'u', 'v', 'i', 'q', 'l', 'c', 'e', 'o', 'b', 'w', 'r', 'g', 'm', 'j', 'd', 'y', 't', 'f', 'x', 'a', 's']","[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]","[74, 22, 82, 14, 74, 3, 19, 72, 18, 23, 22, 69, 30, 68, 2, 75, 63, 100, 85, 27, 90, 13, 71, 98, 69]",4,"[36, 93, 37, 21]",4.189120585507638
"['s', 'v', 'p', 'k', 'w', 'g', 'u', 'x', 'i', 'y', 'o', 'f', 'a', 'l', 'j']","[0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]","[0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1]","[66, 99, 42, 84, 75, 25, 45, 38, 16, 19, 19, 70, 87, 13, 76]",5,"[52, 96, 99, 1, 50]",3.0389510212142055
"['x', 'o', 'd', 'u']","[1, 1, 0, 1]","[1, 0, 0, 0]","[1, 0, 1, 1]","[96, 41, 2, 45]",2,"[28, 43]",2.123869472849336
"['f', 'i', 'e', 'a', 'x', 't', 'q', 'h', 'o', 'u', 'n', 'b', 'k', 'y', 's', 'm', 'p', 'j', 'd', 'w', 'v']","[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]","[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]","[70, 97, 91, 81, 32, 61, 38, 88, 7, 99, 77, 94, 67, 2, 90, 55, 22, 33, 51, 88, 16]",4,"[99, 84, 72, 41]",5.111778014224298
"['g', 'w', 'n', 'e', 't', 'o', 'p', 'a', 'x']","[1, 0, 0, 0, 1, 0, 0, 1, 1]","[0, 1, 1, 0, 1, 1, 1, 1, 0]","[1, 0, 0, 1, 0, 0, 1, 1, 1]","[11, 95, 98, 91, 100, 56, 10, 65, 23]",4,"[69, 35, 29, 88]",7.796325095715071
"['r', 'l', 'g', 'o', 'a', 'm', 'c', 's', 'n']","[0, 1, 0, 1, 0, 1, 1, 1, 0]","[0, 0, 1, 0, 1, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 1]","[43, 27, 77, 81, 47, 69, 13, 56, 50]",5,"[21, 39, 62, 79, 87]",6.431853754258984
"['p', 'u', 'e', 'w', 'd']","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[1, 0, 0, 1, 0]","[40, 17, 39, 31, 37]",7,"[64, 8, 35, 31, 48, 28, 93]",2.6825888925491195
"['e', 't']","[1, 0]","[0, 0]","[1, 1]","[93, 3]",2,"[12, 15]",7.205577609032627
"['r', 's', 'h', 'l', 'k', 'x', 'd', 'j', 'b', 'i', 'f', 'm', 'y', 'w', 'u', 'e', 'g', 'v']","[1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0]","[1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[71, 56, 81, 58, 35, 83, 59, 31, 97, 93, 58, 30, 95, 12, 46, 41, 44, 64]",5,"[36, 54, 50, 51, 18]",7.7789593100924215
"['h', 'w', 'i', 's', 'y']","[0, 1, 0, 1, 0]","[1, 0, 1, 0, 0]","[1, 0, 1, 0, 0]","[88, 27, 11, 17, 56]",3,"[50, 9, 68]",9.664432838503739
"['b', 'g', 'd']","[1, 1, 1]","[1, 1, 1]","[1, 0, 0]","[86, 44, 47]",7,"[76, 37, 92, 86, 82, 100, 6]",3.6684332157179265
"['d', 'a', 'i', 's', 'p', 'q', 'r', 'k', 'l', 'g', 'w', 'h', 'o', 'e']","[0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0]","[1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0]","[94, 19, 7, 30, 38, 45, 29, 4, 60, 25, 2, 5, 80, 84]",5,"[36, 71, 25, 19, 80]",8.773295077167058
"['w', 'v', 'e', 'a', 't', 'c', 'm', 'l', 'j', 'o']","[0, 0, 0, 1, 1, 0, 1, 1, 0, 1]","[0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[78, 12, 95, 95, 69, 28, 16, 94, 29, 15]",7,"[56, 81, 61, 22, 38, 37, 32]",7.811453998968284
['g'],[1],[0],[0],[69],3,"[41, 34, 76]",8.576781341623475
['o'],[1],[1],[0],[33],8,"[99, 73, 56, 68, 16, 58, 74, 60]",5.39137317276979
"['j', 'f', 'e', 'a', 'r', 'g', 'h', 'o', 'v', 'p', 's', 't', 'm', 'w', 'y', 'q', 'x', 'i', 'n', 'u', 'd', 'k', 'b']","[0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0]","[78, 39, 65, 60, 41, 26, 25, 98, 23, 68, 100, 60, 8, 7, 37, 10, 18, 2, 32, 99, 93, 90, 69]",1,[80],8.138064636275162
"['n', 'a', 'k', 'q', 't', 'g', 'c']","[0, 0, 0, 1, 0, 1, 0]","[1, 0, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 0, 1]","[35, 93, 64, 4, 31, 97, 19]",6,"[71, 6, 75, 31, 92, 65]",0.609760653238852
"['d', 'g', 'h', 't', 'q', 'm', 's', 'x', 'y', 'k', 'o', 'w']","[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0]","[1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1]","[18, 49, 18, 26, 5, 25, 36, 36, 72, 32, 60, 90]",7,"[38, 42, 21, 60, 98, 71, 85]",3.7401699082473345
"['l', 'y', 'c', 'g', 'u', 'e', 'j', 't', 'v', 'w', 'f', 'a', 'x', 'd', 'i', 's', 'n', 'q', 'm']","[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1]","[0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1]","[0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0]","[30, 11, 38, 38, 45, 90, 87, 18, 60, 28, 94, 85, 69, 61, 72, 94, 91, 29, 64]",8,"[46, 8, 16, 60, 61, 46, 19, 67]",3.2620131632209883
"['c', 'f', 'v', 'q', 'r', 'i', 'e', 'a', 'l', 'x', 'n', 'o', 'y']","[1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1]","[0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1]","[0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]","[76, 72, 1, 49, 29, 22, 79, 79, 99, 62, 42, 96, 92]",9,"[76, 43, 11, 5, 38, 71, 84, 5, 24]",1.1106182303826777
"['x', 'q', 'a']","[0, 1, 1]","[0, 1, 1]","[0, 1, 1]","[95, 39, 67]",5,"[46, 41, 46, 69, 95]",7.903485568198655
"['m', 'k', 'e', 's', 'i', 'p', 'x', 'o', 'l', 'q', 'v', 'u', 'a', 'd']","[0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1]","[19, 50, 67, 65, 46, 98, 25, 10, 43, 72, 19, 9, 45, 60]",6,"[64, 15, 18, 99, 38, 47]",4.9665290025827575
